id,comment,df
1604380252955960_1686905831350740,انت تافهة و فعلا بتحترميش مشاعرو ولا بتحبي كمان! شو هل سخافة الي وصللها المجتمع اشي بيخزي .....,-1
1604380252955960_2079087038977529,ما فيها اشي بشرط جوزك الازعر يكون موجود ويا ريت ع اغنيه النعنع خليه يرقص,-1
1604380252955960_132626950790523,لا حول ولا قوه إلا بالله ياعالم الناس انجنت الله أكبر عليكي انتي وصاحباتك ولك هاي ام زوجك احسبي صار العكس يا ترا بتسكتيلو لجوزك,-1
1604380252955960_165327290722603,فعلا انك ما بتستحي ، ريتهم يرقصو على قبرك لما تموتي 😠😠 وجع يخلع نيعك إلهي 😠😠,-1
1604380252955960_1604404906286828,اصلا أشك  انك انسانه متعلمه  أو داخله جامعه لو امك الي  متوفيه  وبيت لاجر  عند اخوكي  بكون الك نفس للحفلات  وتسالي,-1
1604380252955960_2063622937192527,انا بقول ان شاء الله بتلحقي حماتك وانا باجي بحتفل مع صاحباتك ما تخافي,-1
1604380252955960_1639021082828939,الله يهديگكي بس ،، حتى لونها حماتكككك مش منيحة بالمرة ،، لازم تستحي ع دمكك و تلغيها !',-1
1604380252955960_2063583687196452,عفكرة واضح انه المنشور من شب وجاي عباله يتخوت لانه مستحيل يكون في وحدة بهالحقارة والتفاهة هاي,-1
1604380252955960_1604431619617490,بتحبي اجي اخبطك في شبشب نمرة46ولا بربيش بيشف شف  يخرب بيت عقلك حطي حالك مكانو وامك الي ميتة  والباقي عندك,-1
1604380252955960_1604399106287408,والله انك قليله فهم ع هالصبح....بننصح الارنب الى عندك يبعثك عند اهلك.يقطعك شو تافهة😷,-1
1604380252955960_1944288485825295,ما عندك زووء ولا فهم مش لهدرجه طز عليكي وعلى صاحباتك فعلا اعتبري امك ماتت بتعملي هيك حفله ؟؟؟؟,-1
1604380252955960_849031871931643,كنا بطلنا نفهم بالاصل والواجب والاحترام مش لهدرجه عيب والله احترام لزوجك مش تتأجل لازم تلتغى مش كثير اشي مهم بيكون عرس وبتأجل حسبي الله ونعمل وكيل وبعدين بنحكي اطلقنا وتزوجنا,-1
1604380252955960_258829957975651,سوال او امك مكان حماتك لا قدر الله جوزك كان مخطط يعمل لمه بتفس اليوم ما رضي ياجل وعزا مش عندك عند اختك شو شعورك انتي بعزا وجوزك مكيف مبسوط,-1
1604380252955960_183591558863537,الي استحوا ماتوا كيف يعني بدك تعملي حفله الله اكبر احترمي مشاعرو ازا مش عشان حماتك عشان جوزك انت موتك حلال روحي اصرفي قهرتيني يقطعك انت وصاحباتك منييييييييييييييييح  اشك انو هالبوست عنجد لانه فش هيك نمر شكلو مسخرة والله,-1
1604380252955960_1604465509614101,اعتبريها امك وزوجك بدي يعمل حفله جد الي استحو ماتو ما بدك تنحرجي مع صحباتك بس معلش تجرحي زوجك ليش من أهم حسبي الله عليكي وبدل ما تكوني واقفه جنبه حسبي الله عليكي ياشيخه,-1
1604380252955960_1513892168693444,يخرب بيتك من حالك. العمى بقلبك العمى عنجد الي استحو ماتو   الله لا يجبرك  الله يسم بدنك يا كشلي شو بدي احكي عنك الله يوخذك ان شا الله,-1
1604380252955960_370285876734824,😱😱😱 الموووت شي بيووجع القلب والروح مش الجسد يعني باللهِ إذا مش إنتِ وقفتي جمب زوجك مين رح يوقف ما فيها شي اذا اجلتي الحفلة 😒👎   بس فكري شوي لو إنتي محلو هو رح يكون كيف موقفو😒😒😒  جد فظاعة 😒😝,-1
1604380252955960_1812710348739399,اخر حفلتك ان شاء الله يعيب عليكي اعتبريها والدتك هيك بتمشي العزا بالاحتفال احترمي زوجك يعيبك واو بجوز انتي عامله هاد المنشور من شان تقرءي بهدلتك بعينيك  وحده مبهدله,-1
1604380252955960_1604384959622156,طريقة إطلاق البزقه..على هيك نمره  1  تقوم بعملية شهيق بعمق من الانف والبلعوم مع بعضهم البعض  2  تخرج البزقة إلى بيت النار  ( الفم   مع صوت  اححححخق   3  تقوم بالتسديد على الوجه تماما   4 ترجع راسك لورا شوي    5  تطلق البزقة بسرعة الضوء  مع دفع الرأس باتجاه الامام  مع صوت تفوووو وتكون ماكل  ساردين🙃🙃,-1
1604380252955960_1686875581353765,يا انتي هبلة او بتتهبلي.....يعني حماتك حتى لو ميتة في بلد بعيد في اشي اسمه احترام ....شعور مع الغير وخصوصا زوجك....تخيلي لو زوجك بدو يعمل حفلة وامك اللي ماتت شو حيكون شعورك,-1
1604380252955960_362476514197137,بدك مستشفى للمجنين يزرعولك عقل حمار بدل الي عندك 😂😂لأنو بفكر احسن منك بجد وقاحة حماتك بمقام أمك متوفيه يعني مش حدا غريب بعدين الجحش الي عندك لحد اسا مقعدك بدار 😏,-1
1604380252955960_849073255260838,اقتلوها قبل ان تتكاثر ... والك عين تسأل بعيد الشر طبعا بس لنفرض امك الي توفت وجوزك عامل حفله لصحابه وانتي ببارريس وعزا امك بموسكو كنتي رح ترضي يعمل الحفله ولا رح تطلبي يأجلها,-1
1604380252955960_1812727272071040,اللي زي اشكالك قليل عليهن الطلاق  صحيح انك وحدة ما بتستحي ع دمها  ناقصك مسبات ع هالمسا دور اللي يدورك حماتك لازم تكون بمقام امك يا فالحة,-1
1604380252955960_889357571220110,ولك ينعن ابوكي ع ابو صاحباتك مهو الحق على جوزك الي لهلا مخليكي ع ذمتو طيب افرضي امك ماتت مبارح وجوزك عامل مش حفله عامل غدا لصحابو منتي بتعمليها قصه ابصر شو ان صار حاكيلك بدناش ناجل الغدا متل ما بترضهاش ع حالك ترضهاش لغيرك,-1
1604380252955960_1604382399622412,جيبي صحباتك يختي وحليهم بس لشنو الرقص يعني ؟😏 انتي مش مستحية ع حالك لمن نزلتي هيك اعترااف 🙄🤔 اصطغفراللاه بس حسبي الله 🐸 Hanan Hassan,-1
1604380252955960_1944276319159845,انت عاقله ولا مجنونه  عنجد انك ما بتستحي  على حالك  لو مطرح جوزك بحط عليكي كاز وبحرقق  وبدفنك قبل ما يدفن امو  والله   انها نار جهنم قليله عليكي وخلي ياعمي صا حباتك بعدها ينفعوكي  ولك الوحده  بتموت قبل ماتشوف ابنها عريس  وبالاخر   بنقول غابو وحابو,-1
1604380252955960_849036971931133,اهااا لااا واجب ليش تأجلي صحباتك أهم من حماتك والعزا ولك لمن توفت حماتي سنه كامله ما رحت افراح واعراس بس لو أنك قدامي بس يعدمني اياك يارب ولك انتي جد مش محترمة وبكرة لمن تتوفى أمك بلكن نسوان اخوتك يعملو حفلات ورقصات واعدات. ......مع اني هده القصه حساها كذبه بس يلا فشيت قلبي,-1
1604380252955960_1604391399621512,ام جوزك بمقام امك يعني  ، اذا ما راح تقفي مع جوزك بهيك ظرف ما بتلزميه ، لازم تقدري هاد الظرف ، عيب عليكي  ، وشو يعني صحباتك ؟ هم لحالهم اذا بفهمو ما راح ييجو ، وهاد الشي بدل ع اصلك . ربنا انعم علينا العقل استعملي 😅   كل اناء بما فيه ينضح   ✌,-1
1604380252955960_1604406029620049,عن جد انك وحدة ما بتستحي وقليلة فهم وذوق افرضي أنها أمك ولا ابوكي الي ميت يختي بطل في حرمة للميت وأهل الميت ولك يا كلبه أمه لجوزك الي ميتة من أهلك كيف الك نفس ترقصي وتاكلي مع صاحباتك  سؤال طيب صاحباتك ما بدهم يعزوكي وياخده بخاطرك ولا انتي مش من أهل بيت الأجر ولا جوزك  بدل ما يطخك لما فتحي معه الموضوع,-1
1604380252955960_1604422919618360,احتراما لمشاعر جوزك يا عديمه الاحساس طز فيكي وبصاحباتك  شو محددة من زمان مهي اعراس بتتاجل بحالات الوفااة  انا بقول اطلبي الطلاق واحتفلي براحتك وقتها  مززززع 😏,-1
1604380252955960_132615484125003,عن جد انك ما بتفهمي يعني المفروض منك لحالك تحكي لجوزك انك راح تلغي الحفلة عشان أمه احترام لجوزك ومشاعره أولا وثانيا لو الوحدة جارتها اللي توفت بتستحي تشغل التلفزيون مش لسه تلغي حفلة وتأكدي راح يجي يوم يردلك جوزك هالموقف وراح تعيشيه لما أمك تموت ومرت اخوك تعمل حفلة عن جد انك وحدة ما بتستحي والله لو أمك اللي ماتت وجوزك كان معزوم على حفلة وراح لتقيمي قيامته وتطلبي الطلاق لأنه ما احترم وفاة أمك,-1
1604380252955960_1513885412027453,خالصة انتِ من كل عقلك باعته تسألي ؟؟؟ الله لا يردك لا انتِ ولا صاحباتك ، في اشي بالدنيا اسمو حياء ، أدب ، ذوق ، احترام مشاعر الناس ، مروا عليكي بالله صحيح العقل زينه والي بدونه حزينه .,-1
1604380252955960_228539677685817,نصيحتي الك اتطلقي و شوفي حياتك و فكك من جوزك النكدي 😂😂 من اولها بده يجنن اهلك على شقفة حفلة وبالبيت كمان  كيف لو انك طالبة منو تعمليها بصالة او بكافيه و يكون معازيمك كتار .. بنغص عليكم الفرحة عشان امه اتوفت يعني   قال و بتستغربو ليش النسوان بتخون جيزانها .. لانو جيزانهم ما بيفهمو عليهم بدورو على حدا يفهمهم 😂😂,-1
1604380252955960_1741436082826502,يجعلك تموتي يا شيخة وما يكون في حدا بعزاكي ولاحدا يترحم عليكي والناس كلها فرحانة ومبسوطة تكون وعاملين حفلات مابقدرو ياجلوها يارب يارب هلأ مقطورة تفرمك فرم تصيري زي التونا ونرتاح منك الله يسم بدك يابعيدة تنيلي,-1
1604380252955960_889358611220006,طب انا عندي حل حلوووو  شو رايك تيجي انتب وصاحباتك وتعملو الحفله عندي بالدار وانا بحضرها ومسموح كل شي  يفضح عرضك ع هيك اعتراف  فعلآ الي ستحو ماتو  حماتك هاي امك واعملي قيمه الها واذا مش الها اعملي قيمه لجوزك  اصلا هو جوزك خروف لو بفهم طلاق وعدار اهلك,-1
1604380252955960_849058455262318,عن جد ما بتحترمي مشاعره ؟؟ يا الهي شو كول !! انا برأيي لازم تندفني انتي وحماتك بنفس اليوم مشان تكوني عبرة للغبيات امثالك ..عن جد الدنيا آخر وقت ..قال صارت عازمه قال ..ولك سنحك من بين النسوان 😡,-1
1604380252955960_2063562147198606,ع فكرة انت مش انسانه لو كنت كنت إنسانه كان عندك مشاعر بس انت مجردة من الأحاسيس والمشاعر احترمي زوجك ووقفي معه في محنته بلا هبلك يا هبله الحق ع جوزك اللي لساته ضابك عنده يا قليلة الاصل والوجدان,-1
1604380252955960_1604472256280093,سبعك وسبع ااي رباكي وسبع الي مايتف عليكي ويسبعك وحده سااقطه الحق مش عليكي بس الحق عالحمار الي ضااابك انتي لازم شنق مش بس طلاق جمعة رقص !! يافيفي عبده لاحقه عالرقص يا الله شو شخصييتك حقيييييرة وقذررره ومستفزه اتتي جد بتجسدي الحقارة تجسيد ابداااعي سبحان من خلق من طباع الخنازير بشر  ارقصي حجه ارقصي اكفى بالموت واااعظا ياعمر !!!! ميته مبارح وبدك ترقصي اكتر من هيك عظه شو بدك !! وكييف تقنعيييه وللك اسقط شخصيه لعام 2017  بدون مناااازع انتي,-1
1604380252955960_889353917887142,ع فكرة انتي وحدة بلااا احسااس وصاحباتك لو عندهم ذووق بفهمو انو اتأجل كلشي بلا ماتحكيلهم وان شاء الله بتخسري امك  و جوزك يعمل أفظع بتستاهلي وتف عليكي وعليه لأنك لهس ع ذمتو تف تف ام ام عارفي شو يعني ام تفيه عليكي وع صاحباتك 💦💦💦💦💦,-1
1604380252955960_132620004124551,مرحبا صبايا بدي رايكم بهالموضوع انا حماتي توفت مبارح وكنت مفروض اني بكرا عامله قعده رقص واكل لصحباتي بمناسبة تخرجي من الجامعة وزوجي زعلان كتير ومتضايق وكل الوقت بيبكي وطلب مني ااجل الحفلة بكرا طيب انا ما بقدر ااجل صرت محددة من زمان وكمان العزا مش عندي عند سلفي الكبير بس زوجي صار يحكي انتي ما بتحترمي مشاعري وانا شايفة انه ما فيها مشكله دام محددة من زمان والعزا مش عندي كيف اقنعه تضل الحفله مكانها وما انحرج مع صحباتي وشكرا الكم,-1
1604380252955960_1639037999493914,نستغل البوست الي ماالو قيمة ولا معنى ونشرح طريقه فغم البندورة  يتم وضع رغيف خبز على الرجل اليمنى ..ومسك حبة بندوره محمشه (خضراء من الخارج حمراء من الداخل   1 يتم عض رغيف الخبز بشراسه لحين لتقاء الاسنان ببعض مع نتعه خفيفه للخلف لتسهيل القطع. 2 يتم مسح حبة البندوره بالثوب الي لابسه او البلوزه  3 يتم النظر لحبة البندوره لقياس سعة فتحة الفم المطلوبه  4 يتم عض حبة البندوره مع شفط للداخل لتستفيد من مية البندوره كامله  5  تكرار العملية لحين نفاذ الكمية .. 😂😂😂😂,-1
1543067545753898_1543084009085585,انهي العلاقه فورا,-1
1543078229086163_1543080269085959,انو_حكالك 😂,-1
1543078229086163_1543191319074854,انو_خرفك؟,-1
1542625972464722_1542630772464242,اني اخضع للعلاج الآن😂😂😔,-1
1542624792464840_1542633329130653,اه  الظلم صعب 😰,-1
1542624792464840_1542637032463616,اه_في  تكوني عامله روجيم وطابخين دوالي 💔💔😭😭,-1
1542624792464840_1542824465778206,اه_في الوجع الحقيقي انك تعرف ان لك_مكانة بقلب يلي بتحب ولا_لا 💔,-1
1542624792464840_1542627585797894,اه_في وجع انك تكون جيعان وما_تلاقي_اشي توكلو   هاد اكبر_وجع بالله في_حد بعترض ع_كلامي   🐸🐸🐸🐸,-1
1542624792464840_1542868182440501,اه لما تطلب من_الاستاذ ينجحك بمادة و ما_يقبل ههه,-1
1543078229086163_1543232972404022,اه_مبين_عليكم,-1
1543078229086163_1543146375746015,اه_مشالله عنكو بريئين  ملااااااائكة من_السما 😒,-1
1543078229086163_1543084872418832,اه_واضح_كتير 😂😂😂😂 بكون اقل_شي بذمتو ٢٠ وحده,-1
1543078229086163_1543220625738590,اه_واضح😂😂😂😂,-1
1542624792464840_1543081509085835,اه_وجع الاسنان 😷😷,-1
1542624792464840_1542629902464329,اه_وجع الراس لادين له,-1
1543078229086163_1543097179084268,اه_ولله صدقت😭😭 😂,-1
1543078229086163_1543079935752659,اهلا اهلا ....توقيع مسيلمة الكذاب 😏😏😏تبرق و ترعد,-1
1543078229086163_1543080845752568,اوفياء اوفياء يغزي العين🐸,-1
1542624792464840_1542898192437500,اي_في لما_اعمل عشا في الليل  وما_ألاقي خبز 😂🐸🐸,-1
1543241149069871_1543247052402614,اي_قرف الي_يقرفك مليح ...مجوزة وولدين ومع_هيك قاعدة بتصيعي ..اشي_بخزي ...روحو ظبي_حالك اذا_مش_مشانك مشان ولادك,-1
1543045455756107_1543108225749830,ايش_هاد ابيخ صفحة شفتها بحياتي همل😒,-1
1542883989105587_1543021735758479,ايش_يعني حب أمانه🤔,-1
1543078229086163_1543165555744097,ايوا,-1
1542883989105587_1542890952438224,بالناقص 😂😂,-1
1543078229086163_1543156272411692,بتحلا كل_النساء في_اعيننا ؟؟ تعديل النص في_الاعلى,-1
1543045455756107_1543162735744379,بتركه,-1
1543045455756107_1543177035742949,بتركه,-1
1543045455756107_1543055605755092,بتركو وبحكيلها انتي بتستحقي مكاني لانو_هو طلع نذل وتركك😂 وبتف بخلقتو وبطلع 😁😁,-1
1543078229086163_1543088445751808,بحاول اصدقك بس_شوي,-1
1543045455756107_1543058009088185,بحطو فوقها وبدعوس فبطنهم الثنين,-1
1543045455756107_1543222002405119,بحكيلا حظاً اوفر 😂😂😂,-1
1543045455756107_1543077052419614,بحكيلها طيب منيح شو اسويلك 🐸,-1
1543045455756107_1543103082417011,بحكيلها كان حبيبك وهس زوجي  يلا طيري  وطبعا بككل روقاان 😂😌✋,-1
1543045455756107_1543062175754435,بحكيلها لو شآيلكك من ارضكك م_كان واقف جنبي هلا 😅😅,-1
1543045455756107_1543058322421487,بحكيلها مو_مهم كان_حبيبك او حبيب غيرك المهم_انه هلا جوزي ورح_نكون بعد_شوي ببيت واحد مع_بعض وانتي ارجعي لحضن الماما شوفيلك حبيب تاني تنسي فيه حبيبي وزوجي 😂... وغير هيك بحكيلها هو عرف_مين يختار لهيك رح_احطه بقلبي وعيوني  يلي بتحب النعنع هذا_النعنع نعنعنا  وهذا_النعنع نعنعنا يا ابا هذا_النعنع نعنعنا  حبينا واتلوعنا اتفرقنا واتجمعنا  راحوا احباب واجوا احباب  ما_بدري ايش الاسباب 😂😂😂😂,-1
1543045455756107_1543047439089242,بحكيلها ننننننننا اخدتو منك 😂,-1
1543045455756107_1543051739088812,بحكيلها يا_حرام تركك وتزوجني . 👰👰👫,-1
1543045455756107_1543135609080425,بحكيلوه هات_كل_مصاري  يلي دفعتهم الله_يباركلك فيها 😂😂😂😂😂😂😂,-1
1543045455756107_1543048975755755,بحكيلي امانه ما_لابقين ل_بعض  ورح احط اغنيه مش_عم_تزبط_معي اعشق غيرك لا_والله  وارقص انا_وياه اجائرها 😂😂,-1
1543241149069871_1543241742403145,بحي اقلك انضبي ببيتك,-1
1543078229086163_1543142439079742,بدك تفحص😶😶,-1
1543241149069871_1543245175736135,بدك حل وك نفسي_اعرف انا ازا متزوجه مو محترمه زوجك وبتخوني وك انتحري تفو _ع_اشكالك,-1
1543067545753898_1543128945747758,بدك رأي ! 😂😂😂😂,-1
1542625972464722_1542627599131226,بدور ع_شيكل وقع_مني 😢😢,-1
1543169945743658_1543189432408376,بديش_اقلك,-1
1543169945743658_1543188819075104,بديش_تقلي ولا_تشتقلي,-1
1543078229086163_1543112569082729,برضو لانكم_كذابين طال عمرك 😂,-1
1543045455756107_1543090002418319,بزفهم مع_بعض  سو وات😂,-1
1543078229086163_1543098262417493,بس_بلاااش,-1
1543078229086163_1543094929084493,بس_بلاش,-1
1543078229086163_1543123775748275,بس_بلاش,-1
1543078229086163_1543118005748852,بس_بلاش ✋😂😂,-1
1543078229086163_1543086579085328,بس_بلاش حداا يسمعك و يصدقك😅😅,-1
1543200225740630_1543222245738428,بس_ما_ييجي ابو بنطلون مشلخ يعمل منشن لحبيبتو على هالبوست,-1
1543045455756107_1543051049088881,بسقط سنانه ع_طول,-1
1543146485746004_1543168889077097,بشششششششش والله بعيااا للسمااا 😂😂😂😂😂Hamodi Rasmi,-1
1543146485746004_1543190159074970,بصراحه ع_شوي كنت_بدي اعيط .. بس_فطنت اني جوعانه قلت بروح آكل 😒😒😒😏,-1
1543045455756107_1543073929086593,بصير اعيط 🐸,-1
1543045455756107_1543224299071556,بضربو ١٠٠٠٠ طلق,-1
1543045455756107_1543068399087146,بطخه بالصالة و كان_الله_غفورا_رحيما 😌,-1
1543045455756107_1543051575755495,بطلق,-1
1543045455756107_1543046045756048,بطلقها 😊,-1
1543045455756107_1543257599068226,بطلقها على_سريع,-1
1542625972464722_1542629599131026,بعد بخزوق السقف يلي ما_بنشافو بالعين المجرده,-1
1543045455756107_1543047862422533,بعطيها  صفنة 😂😂😂😂😂,-1
1543045455756107_1543126265748026,بعمل شاي بدون_سكر 🐸🐸,-1
1543045455756107_1543239385736714,بعمل كاسه قهوي بقعد أدخن,-1
1543056779088308_1543189342408385,بعين_الله 😂😂😂😂😂,-1
1543067545753898_1543105759083410,بغار اكتر_من_الازم,-1
1543045455756107_1543210275739625,بفتح راسه,-1
1543045455756107_1543176242409695,بفتحلها على اغنية اكس على_كل البنات😜ونئاني انا✋😌,-1
1543045455756107_1543054089088577,بقبرها هي و إياه  و يحبو بعض عراحتهم بالاخره,-1
1543045455756107_1543142119079774,بقصف عمرها 😌  بكسر المنصةة ع_راسها 😌✋,-1
1543045455756107_1543245139069472,بقلها خديه تيجي ترقصي معه  اما_سفالة  عشان_تعرفوا اني مش_حارمتكم من_اشي,-1
1543045455756107_1543053762421943,بقولها حبك_برص وهسا_صار جوزي. ما_في مشكله وهاد_النعنع نعنعناااااا 😂😂,-1
1543045455756107_1543085929085393,بقولها عادي انتي_مثل البناء بنيتيه و انا_مثل الوزير بدشنو 🐤😂😂,-1
1543078229086163_1543102769083709,بلا_كذب,-1
1543241149069871_1543253112402008,بلاش خراب ديار خليكي مع_جوزك وولادك والا لتندمي ع_اليوم الي_خلقتي فيه,-1
1543200225740630_1543207439073242,بلشنا نخرط_ع_بعض,-1
1542883989105587_1542943985766254,بندهلك خلف الطرقات وخلف الشبابيك,-1
1543045455756107_1543063749087611,بنزل برقص معا قدامها جقر فيها😂😂,-1
1543045455756107_1543070725753580,بهديها اغنية تم النصيب,-1
1543245745736078_1543258575734795,تا نشتغل احنا😌😌,-1
1543045455756107_1543240409069945,تاخدو وتنقلع هي واياه,-1
1542624792464840_1543107915749861,تخلص دخان 😂😂,-1
1543067545753898_1543177795742873,تركي😄,-1
1543078229086163_1543157379078248,تعال_يا ادمن عل_خاص افهمك لييش تعااال,-1
1542624792464840_1542639229130063,تعبان,-1
1543146485746004_1543193872407932,تفاهة مش_طبيعية انتي_وياها 😂 وحنا مالنا فخار يكسر_بعضو,-1
1543241149069871_1543252275735425,تفوووووو,-1
1543078229086163_1543079899085996,تمت قراءته من_كتاب أبو مسيلمه_الكذاب 😌,-1
1543241149069871_1543253482401971,تيرشرش تيرشرش   مربيات أجيال  عالتكة 🐸🐸 حرام تزوجو انتو وتخلفو  ✋✋,-1
1543241149069871_1543259172401402,جبتولي جلطه في_ذاني نور,-1
1543078229086163_1543083895752263,جد ليش 😕,-1
1542625972464722_1542626882464631,جعان,-1
1543241149069871_1543251342402185,جهنم الطريق الامثل 🐸🖒,-1
1542624792464840_1542631842464135,جوع ووجع_راس بالاضافة لزهق وملل اشياء تؤلم_جدا,-1
1543146485746004_1543190832408236,حازم عديلي حللنا المشكلة😁,-1
1543214122405907_1543220362405283,حاسس انو _من فصيلة القشاطات,-1
1543078229086163_1543092175751435,حاولت اصدق وابلعها واشرب وراها مي وببسي وكابتشينو وكل_اشي ومازبطت ملزقه بزوري مش_راضيه تنبلع,-1
1543067545753898_1543094962417823,حب ؟؟ بدون سسقةة ؟؟ موش حب هادا  ع_كل_حال ما_تعملي شي يخليه يشكك 😉💔,-1
1543067545753898_1543071499086836,حبتك عقربة🙂🙂,-1
1543045455756107_1543109845749668,حبيب_الله متقل_دمكم وهالتفاهه الي انتوا_فيها,-1
1543200225740630_1543209349073051,حرام الكذب,-1
1543056779088308_1543158005744852,حزين,-1
1543045455756107_1543049969088989,حسب شو مصداقية الخبر اذا صحيح بطلقها ولو هي قصة يعني 😃😃,-1
1542624792464840_1543092445751408,حسب علم النفس اذا_كان شخص معجب بشخصص فلا_يمكن الا ان يكون ايضا معجب_به,-1
1543078229086163_1543080675752585,خاصة انا🤔🐸,-1
1543078229086163_1543160955744557,خال حاولت افهمها و اصدق  بس ما قدرت قلت اجيبك تشرحلي اياها Mohammad Marie,-1
1543241149069871_1543244639069522,خاينه,-1
1543169945743658_1543177849076201,خد_معك لزقة جروح,-1
